product_category,product_name,product_img_url,product_source,product_price,idx
dress,SASSAFRAS,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9553331/2019/5/11/396d9c14-e56c-4519-ad73-0ab5a982a4781557570303851-SASSAFRAS-Women-Dresses-8941557570303090-1.jpg",dresses/sassafras/sassafras-black--white-striped-t-shirt-dress/9553331/buy,Rs. 735,1489
dress,max,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18315588/2022/5/20/508b6fef-2cb7-45cb-bf92-2e378f7e652a1652985450894maxPinkDress1.jpg",dresses/max/max-pink-dress/18315588/buy,Rs. 584,431
shirt,Louis Philippe Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17578040/2022/4/5/34f6c433-04e4-4efe-81fc-abf80be114e01649152039248-Louis-Philippe-Jeans-Men-Shirts-1531649152038715-1.jpg",shirts/louis-philippe-jeans/louis-philippe-jeans-men-navy-blue-solid-slim-fit-pure-cotton-casual-shirt/17578040/buy,Rs. 1949,1131
t-shirt,United Colors of Benetton,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17565416/2022/4/27/e8f1f526-1dc8-41ad-bb10-7e9943a08bd41651047626836-United-Colors-of-Benetton-Men-Tshirts-3171651047626363-1.jpg",tshirts/united-colors-of-benetton/united-colors-of-benetton-men-grey-solid-t-shirt/17565416/buy,Rs. 587,313
t-shirt,UNDER ARMOUR,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14666724/2021/7/8/7ac00ddc-c3c5-43ca-bdaf-c8e866c0979f1625737066418-Live-Sportstyle-Graphic-SSC-6301625737065436-1.jpg",tshirts/under-armour/under-armour-women-white--pink-logo-print-loose-sportstyle-graphic-short-sleeve-t-shirt/14666724/buy,None,1278
skirt,Shae by SASSAFRAS,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17251944/2022/3/14/5697da46-2361-4aaa-9028-22f879a2c7291647252840597-Shae-by-SASSAFRAS-Navy-Blue-Tulle-Sequin-Flared-Skirt-416164-1.jpg",skirts/shae-by-sassafras/shae-by-sassafras-women-deep-navy-blue-solid-all-in-the-details-skirt/17251944/buy,Rs. 989,1882
shorts,Pepe Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/11/26/bd37edcf-c50b-4365-ae16-8a375c332af41543173722562-1.jpg",shorts/pepe-jeans/multicoloured-shorts/7975347/buy,Rs. 849,2284
sneakers,ZAPATOZ,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15650446/2021/9/30/e478aa90-f571-414e-b37b-7ae9a95d60c31632962344347ZAPATOZWomenWhiteWovenDesignPUSneakers1.jpg",casual-shoes/zapatoz/zapatoz-women-white-woven-design-pu-sneakers/15650446/buy,Rs. 783,1496
dress,GANT,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15847572/2021/10/19/f3611b82-658e-467f-97f3-f39d544d6c681634627459661GANTRedSweaterDress1.jpg",dresses/gant/gant-red-sheath-dress/15847572/buy,None,1120
bags,Fastrack,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15801950/2022/3/30/d44e31ea-4673-4712-ae5b-aba1373fe9451648624638638FastrackOliveGreenQuiltedSlingBag1.jpg",handbags/fastrack/fastrack-olive-green-quilted-sling-bag/15801950/buy,Rs. 1592,1052
skirt,RARE,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/12/18/ec69049e-8ad5-49c7-93c6-29a19250468f1608274975165-1.jpg",skirts/rare/rare-navy-blue-a-line-midi-skirt/13277228/buy,Rs. 799,1147
shorts,BYFORD by Pantaloons,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17763754/2022/4/5/e75019c8-5144-4143-8064-37cc6f299f701649166679851BYFORDbyPantaloonsMenWhiteSlimFitLow-RiseShorts1.jpg",shorts/byford-by-pantaloons/byford-by-pantaloons-men-white-slim-fit-low-rise-shorts/17763754/buy,None,799
bags,Tommy Hilfiger,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15197990/2021/10/1/72c61899-c50f-4cc5-8fb3-b1226bf5f7a31633067312766-Tommy-Hilfiger-Unisex-Trolley-Bag-4661633067312270-1.jpg",trolley-bag/tommy-hilfiger/tommy-hilfiger-unisex-navy-blue-striped-15-inch-laptop-overnighter---45-litres/15197990/buy,Rs. 3099,407
sneakers,WROGN,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8939135/2022/6/1/69734639-1d26-4778-bba7-b42c20a4a02f1654078987017-WROGN-Men-White-Sneakers-8661654078986662-1.jpg",casual-shoes/wrogn/wrogn-men-white-sneakers/8939135/buy,Rs. 2759,2201
shirt,Roadster,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10945110/2020/3/16/2bcb4b05-245c-4dff-8425-863c336b96541584360811195-Roadster-Men-Blue-Regular-Fit-Solid-Casual-Shirt-85315843608-1.jpg",shirts/roadster/roadster-men-blue-regular-fit-solid-sustainable-casual-shirt/10945110/buy,Rs. 719,241
jacket,HIGHLANDER,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16267122/2021/11/26/c58069eb-09f7-4168-9ac0-49795013c1f21637943621732HIGHLANDERMenBlueDenimJacket1.jpg",jackets/highlander/highlander-men-blue-linen-denim-jacket/16267122/buy,Rs. 799,1195
shoes,Red Tape,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16586484/2021/12/22/a550ce3b-a71f-4952-98f1-cb98efd1e1de1640176771611RedTapeWomenWhite6.jpg",sports-shoes/red-tape/red-tape-women-white-mesh-walking-non-marking-shoes/16586484/buy,Rs. 1949,0
shoes,Skechers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14931648/2021/8/17/d5ca3650-e705-42d7-be07-f8f2ad3a7e5a1629193166255-Skechers-Men-Sports-Shoes-8731629193165832-1.jpg",sports-shoes/skechers/skechers-men-navy-blue-go-run-fast-alulight-goga-mat-running-shoes/14931648/buy,Rs. 3749,449
bags,STYBUZZ,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16987054/2022/1/31/6f4b0002-421d-47a6-b55b-dc42f073b5491643611377593CanvasToteBagForWomen1.jpg",handbags/stybuzz/stybuzz-women-white-printed-oversized-shopper-tote-bag/16987054/buy,Rs. 799,270
